Qty,Designator,Footprint,Comment,LCSC #
4,"C1, C3, C5, C7",C1206,10u,C77092
6,"C2, C4, C6, C8, C9, C11",C0805,100n,C28233
1,C10,C0805,470n,C13967
12,"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13",SOD123,1N5819HWQ,C460770
2,"D14, D15",SOD80C,PMLL4148,C78613
1,L1,R0805,10uH,C223171
12,"MOSA1, MOSA2,MOSA3, MOSA4, MOSA5, MOSA6, MOSA7, MOSA8, MOSA9, MOSA10, MOSA11, MOSA12",FQD13N06LTM,FQD13N06LTM,C236914
15,"R1, R3, R5, R7, R9, R11,R13, R15, R17, R19, R21, R23, R25, R26, R28",R0805,100k,C96346
13,"R2, R4, R6, R8, R10, R12, R14, R16, R18, R20, R22, R24, R29",R0805,220R,C114519
1,R30,R0805,470R,C114564
1,R27,R0805,200K,C114235
1,T1,SOT23,BC847,C8664
1,U$3,SO-6-5,TLP2361,C6285467
1,U1,SOT223,LM1117IMPX-5.0,C41202
1,U2,SOT23-5,ADP150-3.3,C29149
1,U3,MCP6001,MCP6001U,C21403
